iteration,episode,avg_score,best_score,best_avg_score
651,3874,1473.2,4427.0,1491.8
652,3883,1505.5,4427.0,1505.5
653,3888,1531.7,4427.0,1531.7
654,3892,1540.3,4427.0,1540.3
655,3895,1532.9,4427.0,1540.3
656,3901,1526.9,4427.0,1540.3
657,3907,1511.7,4427.0,1540.3
658,3912,1514.9,4427.0,1540.3
659,3918,1539.9,4427.0,1540.3
660,3920,1537.0,4427.0,1540.3
661,3924,1539.7,4427.0,1540.3
662,3928,1520.0,4427.0,1540.3
663,3934,1542.1,4427.0,1542.1
664,3939,1538.5,4427.0,1542.1
665,3945,1530.7,4427.0,1542.1
666,3953,1567.7,4427.0,1567.7
667,3958,1582.8,4427.0,1582.8
668,3961,1574.1,4427.0,1582.8
669,3964,1547.4,4427.0,1582.8
670,3970,1539.1,4427.0,1582.8
671,3974,1531.7,4427.0,1582.8
672,3981,1527.5,4427.0,1582.8
673,3988,1496.3,4427.0,1582.8
674,3990,1498.2,4427.0,1582.8
675,3998,1520.2,4427.0,1582.8
676,4005,1522.6,4427.0,1582.8
677,4008,1524.5,4427.0,1582.8
678,4010,1505.3,4427.0,1582.8
679,4016,1505.8,4427.0,1582.8
680,4022,1495.4,4427.0,1582.8
681,4029,1509.9,4427.0,1582.8
682,4034,1490.0,4427.0,1582.8
683,4037,1511.5,4427.0,1582.8
684,4040,1505.8,4427.0,1582.8
685,4046,1527.4,4427.0,1582.8
686,4051,1514.1,4427.0,1582.8
687,4057,1516.4,4427.0,1582.8
688,4060,1528.5,4427.0,1582.8
689,4063,1538.2,4427.0,1582.8
690,4068,1569.6,4427.0,1582.8
691,4072,1621.9,4657.0,1621.9
692,4075,1623.7,4657.0,1623.7
693,4078,1649.6,4657.0,1649.6
694,4084,1649.0,4657.0,1649.6
695,4090,1660.1,4657.0,1660.1
696,4095,1677.6,4657.0,1677.6
697,4100,1666.8,4657.0,1677.6
698,4105,1682.0,4657.0,1682.0
699,4110,1699.9,4657.0,1699.9
700,4112,1701.8,4657.0,1701.8
701,4115,1705.1,4657.0,1705.1
702,4123,1705.8,4657.0,1705.8
703,4128,1698.1,4657.0,1705.8
704,4130,1709.3,4657.0,1709.3
705,4137,1717.0,4657.0,1717.0
706,4139,1713.3,4657.0,1717.0
707,4142,1741.6,4657.0,1741.6
708,4149,1744.6,4657.0,1744.6
709,4155,1714.2,4657.0,1744.6
710,4158,1709.8,4657.0,1744.6
711,4161,1700.7,4657.0,1744.6
712,4167,1688.3,4657.0,1744.6
713,4174,1654.6,4657.0,1744.6
714,4177,1641.4,4657.0,1744.6
715,4182,1642.7,4657.0,1744.6
716,4187,1636.7,4657.0,1744.6
717,4189,1629.2,4657.0,1744.6
718,4194,1621.1,4657.0,1744.6
719,4197,1619.1,4657.0,1744.6
720,4202,1634.8,4657.0,1744.6
721,4208,1636.5,4657.0,1744.6
722,4210,1638.7,4657.0,1744.6
723,4215,1631.8,4657.0,1744.6
724,4219,1652.5,4657.0,1744.6
725,4221,1664.0,4657.0,1744.6
